"business_id","Score","date","type"
10,"92","20140114","routine - unscheduled"
10,"98","20121114","routine - unscheduled"
10,"98","20120403","routine - unscheduled"
10,"100","20110928","routine - unscheduled"
10,"96","20110428","routine - unscheduled"
17,"94","20140312","routine - unscheduled"
17,"94","20130605","routine - unscheduled"
17,"100","20120823","routine - unscheduled"
17,"100","20120124","routine - unscheduled"
17,"94","20110728","routine - unscheduled"
19,"94","20140214","routine - unscheduled"
19,"96","20130904","routine - unscheduled"
19,"100","20121127","routine - unscheduled"
19,"96","20120323","routine - unscheduled"
19,"93","20111103","routine - unscheduled"
19,"100","20110513","routine - unscheduled"
24,"100","20131118","routine - unscheduled"
24,"100","20121018","routine - unscheduled"
24,"100","20120417","routine - unscheduled"
24,"100","20111013","routine - unscheduled"
24,"100","20110419","routine - unscheduled"
29,"87","20131001","routine - unscheduled"
29,"87","20121228","routine - unscheduled"
29,"86","20120521","routine - unscheduled"
29,"87","20110928","routine - unscheduled"
31,"100","20121217","routine - unscheduled"
37,"96","20140311","routine - unscheduled"
37,"96","20130808","routine - unscheduled"
37,"96","20130130","routine - unscheduled"
37,"98","20120713","routine - unscheduled"
37,"100","20110810","routine - unscheduled"
45,"94","20131209","routine - unscheduled"
45,"96","20121126","routine - unscheduled"
45,"100","20120417","routine - unscheduled"
45,"100","20111012","routine - unscheduled"
45,"92","20110427","routine - unscheduled"
48,"90","20131101","routine - unscheduled"
48,"90","20130327","routine - unscheduled"
48,"92","20120315","routine - unscheduled"
48,"93","20110726","routine - unscheduled"
50,"100","20140402","routine - unscheduled"
50,"100","20131002","routine - unscheduled"
50,"96","20130328","routine - unscheduled"
50,"100","20121015","routine - unscheduled"
50,"100","20120404","routine - unscheduled"
50,"100","20111031","routine - unscheduled"
54,"92","20140325","routine - unscheduled"
54,"96","20131008","routine - unscheduled"
54,"96","20130326","routine - unscheduled"
54,"96","20120801","routine - unscheduled"
54,"96","20120206","routine - unscheduled"
54,"98","20110622","routine - unscheduled"
56,"94","20131021","routine - unscheduled"
56,"94","20130327","routine - unscheduled"
56,"98","20120927","routine - unscheduled"
56,"100","20120130","routine - unscheduled"
56,"94","20110705","routine - unscheduled"
58,"80","20131001","routine - unscheduled"
58,"100","20130207","routine - unscheduled"
58,"98","20120201","routine - unscheduled"
58,"98","20110713","routine - unscheduled"
61,"92","20131028","routine - unscheduled"
61,"96","20130329","routine - unscheduled"
61,"96","20120323","routine - unscheduled"
