Month,Year,Date,Project,Tide,Start,Ttime,Temp,Wind,Sky,Precip,Grid_250,Species,Common Name,Scientific Name,Bd_Type,Guild,Number,Habitat,Behavior,Obs,Notes
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,AMRO,American Robin,Turdus migratorius,Passerine,GR ,5,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,BHCO,Brown-headed Cowbird,Molothrus ater,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,BLPH,Black Phoebe,Sayornis nigricans,Passerine,AF,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,BRBL,Brewer's Blackbird,Euphagus cyanocephalus,Passerine,GR ,19,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,5,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,MODO,Mourning Dove,Zenaida macroura,Passerine,GR ,9,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,1,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,ALHU,Allen's Hummingbird,Selasphorus sasin,Passerine,OTHER,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,AMGO,American Goldfinch,Carduelis tristis,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,BLPH,Black Phoebe,Sayornis nigricans,Passerine,AF,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,RPHE,Ring-necked Pheasant,Phasianus colchicus,Upland,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,AMRO,American Robin,Turdus migratorius,Passerine,GR ,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,BRBL,Brewer's Blackbird,Euphagus cyanocephalus,Passerine,GR ,9,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,CORA,Common Raven,Corvus cryptoleucus,Passerine,OP,3,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,EUST,European Starling,Sturnus vulgaris,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,MODO,Mourning Dove,Zenaida macroura,Passerine,GR ,2,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,9,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,4,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,5,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,4,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,Passerine,AF,4,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,4,HOFI,House Finch,Carpodacus mexicanus,Passerine,GR ,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,4,RAPT,Unknown Raptor,NA,Raptor,AP,1,,,,
June,2000,06/15/00,GC,LOW,7:30,1.5,70,5,0,0,4,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,3,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,AMGO,American Goldfinch,Carduelis tristis,Passerine,GR ,1,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,BHCO,Brown-headed Cowbird,Molothrus ater,Passerine,GR ,1,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,BLPH,Black Phoebe,Sayornis nigricans,Passerine,AF,2,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,BUSH,Bushtit,Psaltriparus minimus,Passerine,GR ,9,,,,
June,2000,06/19/00,GC,LOW,8:20,1.5,65,0,0,0,5,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,Passerine,AF,5,,,,
