DATE,Year,Month,Season,Habitat,Transect,Quadrat,Spp,Common Name,Scientific Name,% Cover,Height,Density,Water depth,Easting,Northing,NOTES
5/2/2002,2002,May,Spring,LM,2,1,HOBR,Meadow Barley,Hordeum brachyantherum,2,6,7,,,,
5/2/2002,2002,May,Spring,LM,2,1,SAVI,Pickleweed,Salicornia virginica,1,1,1,,,,
5/2/2002,2002,May,Spring,LM,2,1,BARE,Bare Ground,N/A,97,,,,,,
5/2/2002,2002,May,Spring,LM,2,2,COCO,Brass buttons,Cotula coronopifolia,10,2,2,,,,
5/2/2002,2002,May,Spring,LM,2,2,BARE,Bare Ground,N/A,86,,,,,,
5/2/2002,2002,May,Spring,LM,2,3,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,3,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,3,2,BARE,Bare Ground,N/A,93,,,,,,
5/2/2002,2002,May,Spring,LM,3,2,COCO,Brass buttons,Cotula coronopifolia,7,4,1,,,,
5/2/2002,2002,May,Spring,LM,3,3,BARE,Bare Ground,N/A,98,,,,,,
5/2/2002,2002,May,Spring,LM,3,3,POSP,Unknown grass Poaceae,N/A,0.5,5,1,,,,
5/2/2002,2002,May,Spring,LM,3,3,LITR,Dead and Standing,N/A,1,0.5,2,,,,POA SPP
5/2/2002,2002,May,Spring,LM,4,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,4,2,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,4,3,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,1A,1,BARE,Bare Ground,N/A,99,,,,,,
5/2/2002,2002,May,Spring,LM,1A,1,SAVI,Pickleweed,Salicornia virginica,0.5,4,3,,,,
5/2/2002,2002,May,Spring,LM,1A,2,COCO,Brass buttons,Cotula coronopifolia,98,2,1,,,,
5/2/2002,2002,May,Spring,LM,1A,2,BARE,Bare Ground,N/A,98,,,,,,
5/2/2002,2002,May,Spring,LM,1A,3,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,1B,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,1B,2,POSP,Unknown grass Poaceae,N/A,2,2,7,,,,
5/2/2002,2002,May,Spring,LM,1B,2,SAVI,Pickleweed,Salicornia virginica,112,2,,,,,
5/2/2002,2002,May,Spring,LM,1B,2,BARE,Bare Ground,N/A,97,,,,,,
5/2/2002,2002,May,Spring,LM,1B,3,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,1C,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,1C,2,OPWA,Open Water,N/A,,,,,,,
5/2/2002,2002,May,Spring,LM,1C,3,OPWA,Open Water,N/A,,,,,,,
5/2/2002,2002,May,Spring,LM,5A,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,5A,2,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,5A,3,BARE,Bare Ground,N/A,100,,,4,,,
5/2/2002,2002,May,Spring,LM,5B,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,LM,5B,2,OPWA,Open Water,N/A,100,,,2,,,
5/2/2002,2002,May,Spring,LM,5B,3,BARE,Bare Ground,N/A,99,,,,,,
5/2/2002,2002,May,Spring,LM,5B,3,SAVI,Pickleweed,Salicornia virginica,1,1,1,,,,
5/2/2002,2002,May,Spring,LM,5C,1,BARE,Bare Ground,N/A,99,,,,,,
5/2/2002,2002,May,Spring,LM,5C,1,SAVI,Pickleweed,Salicornia virginica,1,1,2,,,,
5/2/2002,2002,May,Spring,LM,5C,2,OPWA,Open Water,N/A,100,,,3,,,
5/2/2002,2002,May,Spring,LM,5C,3,OPWA,Open Water,N/A,100,,,7,,,
5/2/2002,2002,May,Spring,MP,1,1,BARE,Bare Ground,N/A,99.5,,,,,,
5/2/2002,2002,May,Spring,MP,1,1,SAVI,Pickleweed,Salicornia virginica,0.5,1,1,,,,
5/2/2002,2002,May,Spring,MP,1,2,BARE,Bare Ground,N/A,95,,,,,,
5/2/2002,2002,May,Spring,MP,1,2,COCO,Brass buttons,Cotula coronopifolia,5,2,2,,,,
5/2/2002,2002,May,Spring,MP,1,3,BARE,Bare Ground,N/A,88,,,,,,
5/2/2002,2002,May,Spring,MP,1,3,COCO,Brass buttons,Cotula coronopifolia,11.5,1,3,,,,
5/2/2002,2002,May,Spring,MP,1,3,POSP,Unknown grass Poaceae,N/A,0.5,2,1,,,,
5/2/2002,2002,May,Spring,MP,2,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,MP,2,2,BARE,Bare Ground,N/A,89,,,,,,
5/2/2002,2002,May,Spring,MP,2,2,SAVI,Pickleweed,Salicornia virginica,2,4,1,,,,
5/2/2002,2002,May,Spring,MP,2,2,COCO,Brass buttons,Cotula coronopifolia,2,2,1,,,,
5/2/2002,2002,May,Spring,MP,2,2,ATTR,Fat hen,Atriplex triangularis,4,4,1,,,,
5/2/2002,2002,May,Spring,MP,2,2,LITR,Dead and Standing,N/A,1,,1,,,,DEAD COCO
5/2/2002,2002,May,Spring,MP,2,3,BARE,Bare Ground,N/A,91,,,,,,
5/2/2002,2002,May,Spring,MP,2,3,COCO,Brass buttons,Cotula coronopifolia,8,4,2,,,,
5/2/2002,2002,May,Spring,MP,2,3,POSP,Unknown grass Poaceae,N/A,1,1,1,,,,
5/2/2002,2002,May,Spring,MP,3,1,BARE,Bare Ground,N/A,100,,,,,,
5/2/2002,2002,May,Spring,MP,3,2,BARE,Bare Ground,N/A,99.5,,,,,,
5/2/2002,2002,May,Spring,MP,3,2,HOBR,Meadow Barley,Hordeum brachyantherum,0.5,6,2,,,,
5/2/2002,2002,May,Spring,MP,3,3,BARE,Bare Ground,N/A,99,,,,,,
5/2/2002,2002,May,Spring,MP,3,3,HOBR,Meadow Barley,Hordeum brachyantherum,1,7,3,,,,
