Northing,Easting,Sedpin,3/1/2002,3/18/2002,5/16/2002,7/19/2002,10/22/2002,11/15/2002,12/12/2002,2/10/2003,6/8/2003,8/5/2003,11/4/2003,2/24/2004,6/25/2004,9/7/2004,2/26/2005,4/21/2005,7/29/2005,10/12/2005,2/13/2006,4/28/2006,5/29/2006,9/18/2006,9/25/2007,9/29/2008,9/3/2009,10/5/2010
4219823,549715,1,222,202,205.5,205,205,199.75,199.75,200.25,201.25,201.25,201.25,201,200.75,200.5,200.25,199.5,202.5,202,,201,,198.25,196,202,200.5,202
4219792,549722,2,215,210.75,215.75,216.5,213,210.75,211,206.5,200.5,198,203,192.25,187.75,182.75,172,167.75,160.25,158,153.25,,138,134.75,123.5,126,120,116
4219593,549759,3,342,341.5,342.25,325.75,301,302.25,300.75,293.25,279,266,262,245.75,228.25,208.75,195.5,186.25,182.25,183.5,173.5,,152,148.5,140.5,144,137,135
4219465,549777,4,341.5,342.5,343.5,135.5,324,324.25,323.5,315,307.5,300.75,292.5,275,220,191,175,168.5,161.25,159.5,149,,128.5,123,124.5,113.5,105,103
4219845,549913,5,201,201.75,205,203,202.5,201,202,202.25,200.25,199.75,199.5,200,200,197.25,200,197.5,198,200,200.5,200.5,,200.25,198.5,198.25,198,199.5
4219816,549914,6,266,265.5,267.5,263.5,256.25,255.25,254.25,250,248.5,245.75,244.75,235,221.5,212.75,203,202,195.5,191.5,187.25,,173,169.5,158.5,156.5,157.5,154
4219741,549945,7,341.5,341,340.5,309.25,293,291.75,291.25,284.5,276.5,268.5,258.25,243,235.5,220.5,203.5,199.5,198,195.5,188,,171,169,152,164.5,161.5,162.5
4219554,549956,8,324.5,326.5,328.25,324.75,319.5,320,318.75,317.75,310,303.75,301,288,276.25,254.75,237,229.25,215.75,214.5,209.25,,184,175.75,164.5,167.5,163,165.5
4219451,549607,9,201.5,200,201.75,198.75,199.25,195,193.5,193.25,193.75,193.5,194.5,193,193.75,193.5,194,194.25,193.5,194.5,192.5,192.5,,194,194,192.75,192,192.5
4219457,549627,10,239.5,237.5,239.5,239.25,241.5,241.75,241.5,240,239.75,240.25,239.5,240.75,236.5,230.5,226.75,222.25,216.25,212,208.25,,195,180.25,165.5,163,159,141.5
4219614,549860,11,342,341.5,342.25,326.75,311.5,309.75,307.5,302,287,269.5,264.5,248.75,234,211.25,201.75,191.75,185.25,185.75,179.5,,159.5,157,146.5,147,145.5,144
4219684,549973,12,253.5,253.5,257.5,260.75,260.25,261.5,264,262,261.5,264,265.75,262.25,269,270,263,264.75,259.25,247,215.75,,172,133.5,124.5,121,112,
4219616,549529,13,202.5,202.75,203,201.25,199.5,195.25,195,199.5,,,198.75,199.5,198.5,198,198,197,198,197.5,198,198,,198.25,198,197,195.5,198.5
4219613,549552,14,298.5,294.5,298.75,291.75,285,284.75,284.5,278,267,265.5,260,252.25,231.5,222.5,217.5,212.5,208,206.5,202.25,,190.5,187,172,167.25,159,153.5
4219771,549761,15,232,194.5,231.5,230,229.25,228,227.75,221.5,226.5,228.25,222.5,214,196.75,190,171.5,163,154.5,154,148.25,,133,131.25,120,121,117,110
4219838,550003,16,238,234.75,237.25,231.75,226.75,222.75,224.75,220.25,212.5,212.5,212,205.75,195.5,189.25,183,175.5,171.25,171.25,169.5,,152.5,155.25,140,143.5,137,134.5
4219783,549612,17,149,149.5,149.5,158.75,164,165.75,165,165.25,165.5,170.5,173.5,173.75,177.5,180.75,183,182.25,183.25,180.75,178,,164,159.5,145,144,137,132
4219659,549659,18,289,290.5,292.25,285.25,270.5,270.25,266.75,264.5,256.5,253.5,247,229.75,223.5,201.5,182.5,162.5,141.5,139.75,131.25,,107,101.75,89.5,90.5,85.5,85
4219370,549720,19,307,306.5,307,304.5,295.75,297.5,298,292.25,278,274,272.25,254.5,222.75,199.25,189,176.75,154.5,148.5,137.5,,107.5,100.25,82.5,79.5,70,65
4219792,550019,20,343.5,338,344.75,332.75,314.5,313.75,312.75,305,293.5,286.5,278.5,260.75,233.5,222,208.5,202.75,196.25,193.25,192.5,,175,174.5,168.5,170.25,169.5,167
4219813,549716,A,222,201,209,215,230.5,221.5,222,222,225,227,227.75,227.25,228.5,228,227.5,228,228,227.5,227,227,,225,224,,,
4219840,549913,B,203,202,204.5,217.25,219.5,218.75,218.5,220.5,224.5,227.75,229.5,229.75,229.25,231,233,231.5,238,240.5,242.5,242.5,,245.75,252,,258.5,
4219448,549621,C,203,203.5,204.5,205.5,206.25,206.5,206.5,206.5,206.25,205,205.75,205.75,205,204.5,206,205.75,206,206.5,208,208,,206.25,209.5,,204.5,205
4219621,549533,D,202.5,203.5,205.75,210.25,211.5,212.25,212,211.5,210.5,209.25,210,209.25,208.25,207.75,209.75,208.75,210,210,210,210,,210.25,205,,208,209.5
"## TS NGVD Sed (cm), locations in UTM NAD27",,,,,,,,,,,,,,,,,,,,,,,,,,,,
