East,North,Year,Season,Date,Transect,Quad,DIST.,Water Depth,Spp,Common Name,Scientific Name,Percent,Height,Density,Obs,Comments
549717,4219841,2002,Summer,8/23/2002,1,1,6,,RASA,Common wild radish,Raphanus sativus,25,34,1,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,1,6,,DOM,dead & standing,N/A,33,34,90,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,1,6,,SPMA,Sand Spurrey,Spergularia macrotheca,10,8,1,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,3,9,,DOM,dead & standing,N/A,80,69,35,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,3,9,,RUCR,Curly dock,Rumex crispus,15,65,5,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,3,9,,RASA,Common wild radish,Raphanus sativus,5,56,1,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,3,9,,CESO,Yellow star thistle,Centaurea solstitialis,1,22,0,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,4,12,,DOM,dead & standing,N/A,35,61,8,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,4,12,,BARE,bare ground,N/A,65,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,5,15,7,ATTR,Fat hen,Atriplex triangularis,60,61,30,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,5,15,7,BARE,bare ground,N/A,39,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,5,15,7,SAVI,Pickleweed,Salicornia virginica,1,,4,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,6,18,,SAVI,Pickleweed,Salicornia virginica,50,50,100,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,6,18,,ATTR,Fat hen,Atriplex triangularis,5,34,2,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,6,18,,OPWA,Open Water,N/A,15,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,6,18,,BARE,bare ground,N/A,30,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,7,21,,SAVI,Pickleweed,Salicornia virginica,65,69,12,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,7,21,,BARE,bare ground,N/A,35,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,8,24,54,SAVI,Pickleweed,Salicornia virginica,25,33,50,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,8,24,54,BARE,bare ground,N/A,15,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,8,24,54,OPWA,Open Water,N/A,60,,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,9,27,,SAVI,Pickleweed,Salicornia virginica,5,9,,CR;SD,
549717,4219841,2002,Summer,8/23/2002,1,9,27,,BARE,bare ground,N/A,95,,,CR;SD,
